Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.041134,-0.00020276,0.018962,0,0,0,0.2198141,6.9509E-05,-2.5371E-08,1.4287E-06,0.0002225,-7.7855E-07,0.00026269,0,0,0,0,0,0,package://14DOF-DW/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/base_link.STL,,头部关节-下-2;IMU模块-1;主控固定板-1;头部关节-上-1;电源模块固定板-1;蛇头盖-1;蛇头圆角件-1;蛇头圆角件-2;蛇头顶圆角长件-1;双被动轮连接件-1;双被动轮连接件-3,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0330591170047352,0.000143329179502418,0.0179182686393182,0,0,0,0.115519593456398,6.32841478476503E-05,-5.81289484277689E-09,9.89235679597917E-08,5.71429098237368E-05,-3.35928085089454E-10,7.13912775703644E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link1.STL,,舵机-2;正交关节-1;圆角长件-1;圆角长件-2;圆角件-2;双被动轮连接件-21,link1,joint1,yaw1,revolute,-0.124000856480825,-1.55332331870869E-05,0.00177993222305423,0.00872664625997146,0,0,base_link,0,0,1,1,1,-1.57,1.57,,,0.6,0.052,,,,
link2,-0.0321043967892307,0.000609841668310669,0.0179205112089453,0,0,0,0.111229997749691,6.31061986579459E-05,2.26957638639711E-09,5.00819582550366E-08,5.43101293841145E-05,-3.21600701070168E-10,6.87183471931726E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link2.STL,,舵机-4;正交关节-3;圆角件-4;圆角件-3;圆角长件-4;双被动轮连接件-13,link2,joint2,pitch1,revolute,-0.0758100000000003,0.0183,0.0188500000000013,1.5707963267949,0,0.00872664625997157,link1,-0.00872653549837385,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link3,-0.0332142598001915,0.000486940276140648,0.0176340374188234,0,0,0,0.115519593456485,6.32830396575755E-05,-5.58778334429632E-09,2.81217687024201E-08,5.71440007342327E-05,-1.24723538283347E-07,7.1391294850017E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link3.STL,,舵机-9;正交关节-8;圆角件-13;圆角长件-13;圆角长件-14;双被动轮连接件-12,link3,joint3,yaw2,revolute,-0.0759716085816395,-0.0188500000000013,0.0181877235936262,-1.57944649123982,-0.00880246354041921,-0.00872631979186493,link2,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link4,-0.0321043967892305,0.000609841668314402,0.0179205112089478,0,0,0,0.111229997749691,6.31061986579461E-05,2.26957638641655E-09,5.00819582549708E-08,5.43101293841148E-05,-3.21600701064558E-10,6.87183471931728E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link4.STL,,舵机-5;圆角长件-5;圆角件-5;正交关节-4;圆角件-6;双被动轮连接件-4,link4,joint4,pitch2,revolute,-0.0759730316937157,0.0186847870556136,0.0183515200447222,1.57944649121474,-0.00880213416012471,0.00872665203386414,link3,-0.00872653549837377,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link5,-0.0332142598001913,0.000486940276140624,0.0176340374188241,0,0,0,0.115519593456485,6.32830396575755E-05,-5.58778334432928E-09,2.81217687023804E-08,5.71440007342328E-05,-1.24723538283347E-07,7.1391294850017E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link5.STL,,舵机-10;正交关节-9;圆角件-15;圆角长件-15;圆角长件-16;双被动轮连接件-5,link5,joint5,yaw3,revolute,-0.0759716085816396,-0.0188499999999978,0.0181877235936335,-1.57944649123982,-0.00880246354041289,-0.00872631979187118,link4,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link6,-0.0321043967892309,0.00100700669845132,0.0179205112089479,0,0,0,0.111229997749691,6.3106198657946E-05,2.26957638637778E-09,5.00819582550447E-08,5.43101293841147E-05,-3.21600701066464E-10,6.87183471931727E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link6.STL,,舵机-8;正交关节-7;圆角长件-11;圆角件-12;圆角件-11;双被动轮连接件-7,link6,joint6,pitch3,revolute,-0.0759695660829059,0.0186882529303556,0.0179543852585124,1.57944649121474,-0.0088021341601309,0.00872665203385783,link5,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link7,-0.033214259800191,0.00048694027614575,0.0176340374188169,0,0,0,0.115519593456485,6.32830396575755E-05,-5.58778334428972E-09,2.81217687023448E-08,5.71440007342328E-05,-1.24723538283333E-07,7.1391294850017E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link7.STL,,舵机-7;正交关节-6;圆角件-9;圆角长件-9;圆角长件-10;双被动轮连接件-6,link7,joint7,yaw4,revolute,-0.0759716085816399,-0.0184528349698537,0.0181877235936386,-1.57944649123982,-0.00880246354040666,-0.00872631979187742,link6,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link8,-0.0321043967892308,0.00100700669845072,0.0179205112089521,0,0,0,0.111229997749692,6.3106198657946E-05,2.26957638640893E-09,5.0081958255061E-08,5.43101293841147E-05,-3.21600701068476E-10,6.87183471931728E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link8.STL,,舵机-6;正交关节-5;圆角长件-7;圆角件-8;圆角件-7;双被动轮连接件-15,link8,joint8,pitch4,revolute,-0.0759695660829057,0.0186882529303612,0.0179543852585042,1.57944649121474,-0.0088021341601369,0.00872665203385157,link7,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link9,-0.0332142598001908,0.000486940276155874,0.0176340374188119,0,0,0,0.115519593456486,6.32830396575756E-05,-5.58778334428729E-09,2.81217687023137E-08,5.71440007342329E-05,-1.24723538283334E-07,7.13912948500172E-05,0,0,0,0,0,0,package://14DOF-DW/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-DW/meshes/link9.STL,,舵机-12;正交关节-11;圆角件-19;圆角长件-19;圆角长件-20;双被动轮连接件-8,link9,joint9,yaw5,revolute,-0.0759716085816403,-0.0184528349698482,0.0181877235936549,-1.57944649123982,-0.0088024635404005,-0.00872631979188347,link8,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
